User;opinionText
Ifan wahyudi;Ya, sangat mempermudah. Untuk kuliah saya sendiri kemarin menggunakan zoom, google meet. Dan fasilitas kampus yang diberikan adalah website e-learning yaitu Vlpoltekpos. 
Agus Paturohman;Lebih mudah mencari rekapan nilai
Tita Puspita;Setuju karena nambah ilmu serta dengan cepat kita memperoleh buku tanpa harus ke perpus langsung
Atti S;Di kampus disediakan Perpustakaan dan wifi yang baik, dan pemerintah juga menunjang mahasiswa dengan membuka Pocadi (pojok baca digital) di perpustakaan umum, yang memudahkan kami mahasiswa mengakses internet, dan website keilmuan.
Imam muslimin;Mempermudah pembelajaran
SANIB;Karena kegiatan pembelajaran online ini sifatnya bukan sesuatu yang direncanakan sehingga penyiapan sarana dan prasaranapun sambil berjalan
Wirda Nengsi,S.Pd;Aplikasi e learning sekolah sudah digunakan sebelum ada pandemi
Indah Sari;lengkap
A.Aida Wulandari Putri ;Lebih di tingkatan lagi, masih banyaknya kekurangan, setiap orang berbeda masalahnya, tapi masih tatap muka Utk kesempurnaan belajar, sekali kalimah gak pa2 kaliyah
Andi Nadhyatul Hidayah;sistem e-learning dan website perpustakaan memudahkan akses materi bagi peserta didik
Nurul Hidayah Alimuddin ;Sejauh ini belum terdapat website perpustakaan d sekolah kami
Arjun Yuda Firwanda;-
Harun Ar - Rasyid;Iya, karena terkadang ada yang di butuhkan namun tidak tersedia
Sri Rahayu;Akan mempermudah pada saatnya digunakan
Damara Benedikta ;Sangat membantu karena bisa digunakan melalui online 
Evietania;Mempermudah hanya belum lengkap seperti perpustakaan kampus
Muhammad Fahmi;tidak tersedianya e-library
Faisal Najib Abdullah;Cukup baik
Nia zuliana;iya karena bisa lebih mudah mencari referensi dari informasi yang ada pada web 
Eka Nuraini;Gak berjalan samsek di poltekpos
Naila Rahma Fitri;Belum berjalan karena saya tidak suka membaca di perpus
Muhammad Adham Malik;Cukup membantu
NURSYAFIKAH;Hanya mengakses melalui internet seperti jurnal, dan Buku sendiri.. 
Andi Tenri Rahayu Asri;Cukup membantu untuk mengerjakan tugas dan referensi nya pun cukup menjamin aman
Oktaviana Nurul Khoiriah;Karena mempermudah dalam proses belajar 
Murafiqah ramadhani;Iya Karna mempermudah untuk memperoleh sebuah materi yang d berikan dosen
Ira Dwita Syafitri Tarigan;Apk yang digunakan untuk mengikuti pembelajaran dari lumayan bisa mempermudah untuk tetap melaksanakan tatap muka walaupun hanya sekedar via layar kaca atau online
Reski Amalia;karena sy tidak memiliki perpustakaan belara selama daring
Maria Ulfa;Karna website di institut dimana saya belajar mempermudah semua hal
Nur aulia syahbani ;Karna kita bisa mencari referensi di google dan banyak membaca jurnal
Ayu Wahyuni;Mempermudah dalam mengirim tugas yang diberikan oleh dosen dan mengunduh materi yang diberikan oleh dosen 
Andi Nur Ihsan Bahri;Masih banyak website perpustakaan yang tidak bisa di akses secara umum
ahmad farid;Setuju karena dalam masa pandemi ini sistem e-learning ini sangat tepat diberlakukan dalam kondisi dimana kita haru belajar dirumah dan demi keamanan bersama. Akan tetapi menurut saya kurang efektif dalam hal meningkatkan keaktifan siswa, juga tidak terdapat kontak langsung antara guru dan siswa sehingga mental siswa kurang terbentuk
Adie Wirahardi Kusuma;Karena dapat membantu banyak mahasuswa dalam mengerjakan tugas
Bahtiar;Gak dapat seperti ini
Ibnu Bathutah;Kurang Berjalan
Dewi Gustini;karena system tersebut tidak menunjang pengetahuan secara mendalam
Endang Lestari;Pada umumnya, di tempat kami mengajar rata-rata menggunakan google classroom walaupun sudah memiliki LMS sendiri. Jal tersebut dikarenakan persiapan yang kurang.
Juni Srikuswati ;Pembelajaran online memerlukan partisipasi aktif dari peserta, termasuk dalam mencari referensi. Sebagai baik elearning maupun web perpustakaan dalam menyediakan bahan belajar, akan semakin membantu peserta didik untuk belajar.
Wulan Novitasari;Lebih banyak menggunakan sumber lain di google
Siti Masruroh;Sistemnya perlu di evaluasi untuk meningkatkan layanan sehingga lebih mudah di akses
Dini Permata Putri;Karena kita terap difasilitasi agar gemar membaca namun belum pada isi yang mendalam tentang isi buku
Ahmad Syahroni;Siswa telah dipinjamkan buku paket 
Yohanes Sigit Untoro;E lerning di siapkan untuk pengumpulan tugas dan cukup mudah 
Fauzan;Tidak ada
nayah anjani;cukup setuju
ERNI MARYANI, S.Pd;Kami menggunakan aplikasi untuk siswa membaca buku atau literasi
Soleh;iya walau belum maksimal
Sopiah;Fitur sistem aplikasi e-learning sangat sangat bermanfaat dan dpat digunakan untuk belajar mengajar
Fatoni Kabir;kampu saya tidak memiliki web perpusatakaan
Desi Ayu Ramadhan;Memberi pasilitas yang maksimal
Asrini Salsabila Putri;Sistem e-learning yang baik dapat mendukung proses pembelajaran jarak jauh dengan baik.
Nisrina Salsabila ;Sangat dibantu berupa pelatihan, fasilitas dan aplikasi premium berbayar
Alin Natusaripah;.
Millati Haniefa Nurkamila;Untuk e-learning tempat saya cukup mempermudah dalam proses pembelajaran untuk mendapatkan materi dan mengirim tugas
Udho ganteng;Membantu mendapatkan informasi yang valid
Nuril Kartika Rahmawati ;Yaa itu sedikit mempermudah saya untuk mencari   cari materi untuk belajar 
Cindy Callysta;Mempermudah
Aini Zahra;Saya tidak menggunakan fasilitas itu
Medina;Y
Digma Heldy Pratama;Sudah cukup bagus namun lebih baik apabila memiliki aplikasi resmi di playstore
Milena;E-learning tapi lebih seperti guru memberikan tugas kepada murid dan tidak mengajarkan apa - apa. 
Muthmainnah Nur;Dengan adanya elerning sangat membantu sekali dalam proses pembelajaran karena lebih simpel
Dewi F.F.;kurang tau karena tidak pernah membuka web perpustakaan, dosen lebih cepat dan sama persis sama apa yang dosen bahas. Jadi minim misscom
Ravenska Vania;sangat baik karena sebelum terjadi pandemi sudah siap dengan perkembangan teknologi untuk pembelajaran
dewi robin pramary;web e learning kampus sangat memudahkan saya sebagai mahasiswa dalam mengakses materi (baik video maupun ppt), mengumpulkan tugas dan sebagainya sehingga semuanya rapi dan terdokumentasi dengan baik
mega purwati;semua akses online di jalankan dengan baik
HERLINA DWI KARTIKASARI;saya cukup setuju karena mudah diakses dan tidak memerlukan banyak kuota
amanda;LMS yang disediakan kampus saya sudah cukup bagus
Zahrah Tsania;kurang penjelasan
Dea;akses jurnal mudah tetapi akses buku perpustakaan masih sulit 
Salsabela;Karena setiap pertemuan dosen mengirimkan materi beserta penjelasannya bahkan mengadakan zoom, tetapi masih ada dosen yang hanya mengirim materi saja tanpa memberi penjelasan dan tanpa mengadakan zoom
Sindhu Wijaya Mulyo Nugroho;sekolah menyediakan web khusus yang mudah dijangkau jadi tidak merasa mengalami hal-hal yang memberatkan
Imelia Nurlaila;Website dari kampus saya cukup tertata dan rapih, sehingga mudah untuk mencari materi dari tiap-tiap pertemuan.
zahra chairunnisa wihajaya;Membantu sekali
Andin;Fasilitas e-learning yang disediakan sudah cukup bagus dan mumpuni, hanya saja terkadang sulit di akses.
Faradina;cukup setuju, disisi positif itu membantu saya dalam kegiatan belajar, disisi lain apabila server tersebut overload atau bertabrakan jadwalnya dengan fakultas lain maka sistem akan down sehingga menunda waktu belajar
Latanza Delia Choirunnisa;beberapa website lama diakses, malah tidak bisa diakses karena banyak mahasiswa lain yang mengakses
Widadri Ailin;karna lebih enak membaca di perpustakaan langsung 
Bulqiah Jagad Mauladan;Websitenya sangat memudahkan
Shafira Desy Ayu Al - Fikri;website kampus saya suka error sehingga terkadang memperhambat saya dalam melakukan kegiatan perkuliahan
Chrisye;Karena saya berkuliah di unej menggunakan SISTER UNEJ sangat membantu sekali dalam proses absen, pengumpulan tugas, pembagian link zoom, dan lain sebagainya
Nabila Hasna;sistem e-learning sangat efektif terutama mengumpulkan tugas dan mengakses materi, website perpustakaan juga lengkap karena bisa mengakses website2 jurnal
Rizqi Amalia Utami;Cukup baik, karena bagi saya internet sudah memberikan sumber-sumber yang baik untuk belajar, namun kurang lengkap.
Adinda Kasih Salsabilah;Setuju,  e - learning membantu kita lebih mudah untuk melakukan pembelajaran jarak jauh, lebih mudah dalam mengumpulkan tugas atau hasil kerja siswa.
Lelly Febriyanti;Okay saja
Dita Cahayatiningsih;karena sampai saat ini mahasiswa belum mendapatkan akses perpustakaan online Univeristas
Noor Anisa Amelia;Cukup setuju karena adanya modul-modul terkait materi yang diajarkan tersedia di e-learning. Namun, untuk peminjaman buku di perpustakaan masih berlangsung secara offline walaupun sudah tersedia di SIAKAD. Hal tersebut terjadi karena belum maksimalnya mekanisme peminjaman melalui online. 
Riska;Dengan website perpustakaan memudahkan siswa untuk megeksplor buku tanpa perlu mengunjugi perpustakaan secara langsung sehingga lebih efisien waktu dan tenaga.
hana;Semenjak pandemi e-learning di kampus terus melakukan update agar dapat nyaman di gunakan oleh para mahasiswa
Cahya;Karena dari sebelum pandemi, kampus saya sudah menggunakan aplikasi e-learning, jadi mudah dipahami dan tidak perlu adaptasi lagi. 
Marni;Ya karena bisa mengakses perpustakaan seperti halnya perkuliahan secara offline dulu walaupun harus mendaftar sehari sebelumnya.
Asep Muslihat;Sangat bermanfaat, kami dengan mudh dpat referensi secara online tanpa hrus keluar rumah.
Bekti widodo;cukjup sulit diakses 
Rohman Mulyadi;E-book yang ada di digilab kampus menurut saya cukup membantu dalam mengerjakan tugas 
N.Mardiyah;Memberikan informasi atau materi yang diperlukan
Herlin Sundari;Pencarian mudah
Mulyani. S.Pd;Belum didukung sarana memadai
Wartono;Kami banyak menggunakan sumber dari internet pada umumnya tidak menggunakan website perpustakan karena emng tidak punya
Yosa Halim Prayogi;karna dapat mempermudah dalam proses belajar mengajar jarak jauh
Dini Alisari;Perpustakaan e-learning belum kami miliki 
Evita Wulansari;Karena bisa banyak refrensi utk mengajar
Muh. Ruli Gunawan ;website perpustakaan belum optimal
Mulyani;Cukup setuju karena di kampus saya sudah cukup banyak belajar untuk efektifitas perkuliahan dimasa pandemi, tetapi memang belum dapat terlaksana secara maksimal
Nufa Suryana ;Saya jarang menggunakannya
Susanti;e-learning sangat menunjang dalam pembelajaran secara online
Yuli Eenawati;Saya setuju, karena elarning perpustakaan membantu. Hanya saja koleksinya masih kurang
Peni Trihastuti;Untuk menambah refrensi mengajat
Imam Nashokha;Perpustakaan tidak digunakan selama pandemi
Sri Juhariah, S.Pd ;Karena disekolah sekolah jaringan internet sudah baik
ERNA SOFIA NENGSIH;Perpustakaan kami msh manual jd anak2 harus k sekolah klau mau membaca buku
Mmmm;E learning nya sedang tidak berfungsi
Rohman Nurdin;Website sekolah dan e-learning perpustakaan sekolah belum dikelola secara maksimal sehingga tidak bisa dijadikan sebagai salah satu referensi belajar secara online.
Widawati;Sistem e-learning bisa diakses dengan mudah 
DEWI MARLINDA, S.Pd.;Mendukung anak-qnak dalam proses pembelajaran
Argi Fathurachim;Mudah
RIGAN DIAZ ALGIFARI;E-learning bda dengan website perpustakaan, karena website perpustakaan hanya sekedar referensi dan literasi sedangkan E-learning sangat kompleks disana ada Proses pembelajaran dan evaluasi
RENALDI RAMADHAN;Belum ada
Esa Saputra;Seringkali terkendala memgenai jaringan/sinyal
Giva Nur Aulia;Karena cukup jelas dan mudah di pahami
Dila Margaretha;Tautan yang di berikan sekolah sedikitnya mempermudah dalam mengumpulkan tugas atau penilaian.
Novitasari;Cukup
Sofyan Hidayat;cukup mempermudah adanya website perpustakaan tempat belajar 
Septy;Belum ada website perpustakaan di sekolah saya
LILI SUMARNI,S.Pd;Di universitas saya pembelajaran dengan sistem luring dan daring, dilakukans secara bergantian. Jika  materi kemarin tidak begitu jelas maka bisa ditanyakan dihari selanjutnya saat pembelajaram secara luring
Ayu Noor Aeni;-
RIDA MANARUZZAMAN ;Bukan mempermudah, tapi mempersulit
Suci Sukmayanti Putri;Sampai saat ini masih belum terhubung dengan e-library
Rafi Ikhwanudien Muhammad ;i
Julinda Ika Saputri;Dari sebelum pandemi e-learning sering digunakan untuk mencari informasi tambahan
MURODI, S.Pd.I; 
Dhyana Wijayanti;Cukup membantuu
Fauziah Ru'fatul Ulya Karimah;Mungkin di Sma saya masih kurang baik karena pada saat Kbm banyak gangguan seperti sinyal di gurunya 
JUSTIN DRILEN ABEDNEGO;sistem e-learning pada kampus saya semenjak semester 4 sekarang lebih buruk daripada semester sebelumnya, karena error terus bahkan sampe hari menjelang deadline
Pancari Cahaya;Karena perangkat ini yang cocok untuk diterapkan dalam Menunjang KBM pada masa pandemi
Kwok Mei Foeng;Setidaknya membantu dan menambah ilmu dalam online learning 
Dian Markuci;Jadi mempermudah mencari jawaban
Rodi Saroyo, S.Pd.;Tergantung orangnya,ada yang suka online dan tata muka
Ratih Era Setianingrum;ya.disklh ckp baik perpustakaannya
Rini Rachmawati;Online memudahkan bagi siswa dan guru.
Andriani;Website perpustakaan tempat belajar masih kurang memadai karena masih banyak buku yang harus berbayar
Herlanto;Karena memenuhi syarat untuk kegiatan e-learning.
Agung Hendro Pradityo;semua berjalan dengan baik
Elisabeth Puspa Wardani;Menjadi salah satu bahan referensi
Lylis Bahriani;Pemanfaatan perpusatakaan disekolah masih dilakukan dengan metode manual, sehingga peserta didik dan pendidik diwajibkan untuk mencari alat pembelajaran online pada web lain untuk mempermudah siswa dalam menyerap dan mengembangkan pengetahuan yang diajarkan
SUHERNI;Cukup
Katarina Endang Rejeki;Setuju, cukup membantu
Rustam Herman Kesuma;Belum adanya sistem e-learning yang terintegrasi
LUSIA NGATILAH;Saran & prasana memadai di kampus
Maria Magdalena Dwi R;Tidak sepenuhnya mempermudah pembelajaran
Yetty Ida Rohani Tobing;Bermanfaat untuk literasi
Retno Puspitasari;Perpustakaan kami masih dalam bentuk offline
Dahlia afissiya shalma;Membantu siswa mencari materi
Elisabet Ona;Ya.. 
Aprillia Setiawan;Cukup membantu
Christiana Titik Budiati;Cukup membantu dalam pembelajaran jarak jauh
Evinora. V. Hutabarat;Cukup Setuju 
Jani Susanti;Tidak setuju
Irma Okviana Br Ginting Munthe;Karena buku yang ada di perpus belum 100% buku digital, dan peran serta peserta didik tidak terlampau antusias 
Teresia Wellydar;Diberikan vasilitas data internet
Johannes Krismanto;Belum memakai sistem e learning, tapi kalo diterapkan di sekolah saya mendukung 
Lucia Puji Sumarni;Tidak
Yanti Karmila;Website perpustakaan tidak dimanfaatkan 
Christiana Suwarti;Dapat mpermudah
ani karolina;Karena memudahkan anak
B. Dyah M.;Ya
Y. Noviana Purwaningrum ;Baik
MAGDALENA SIMBOLON;Karena kita bisa mencari sumber materi dari buku yang terdapat di perpustakaan
Emilda Manuntungi;Meminimalisir kontak langsung
COSMAS BUTSI L.;e-learning cukup mempermudah dalam proses belajar mengajar dimasa pandemi
Sumardiyah;Sekolah belum ada perpustakaan/e-learning
sarwedi;LEBIH MEMUDAHKAN SISWA DALAM MENCARI INFORMASI/MATERI SECARA ONLINE
Kusnaeni;Saya menyiapkan bahan ajar sendiri
Nur Hidayat;Belum ada website perpustakaan
Fahriah;Sistem e-learning di tempat kami masih sebatas web sekolah yang digunkan untuk Ujian online, perpustakaan blum terintegrasi. Namun masih dalam pengembangan.
Ida siagian;Sangat membantu dan menjangkau semua siswa dengan mudah dan cepat.
Larasati Prihantari;Baik 
M.Budi mulyanto;cukup baik
Faishal Hanif;Sangat membantu
Yusup Supyani;Wify yang memadai
Septian;Di sekolah saya tidak menerapkan perpustakaan online
Ilyas;Siswa tidak berantusias untuk membaca lebih baik bermain game on line
ILMA AMALIA;Kami menggunakan Google Classroom, namun masih SANGAT statis. Tidak memudahkan siswa dalam belajar. Urutan posting tugas seringkali berantakan, ketika anak terlewat satu tugas, maka dia akan jenuh untuk scroll kebawah dengan tugas yang sebelumnya karena terlalu menumpuk
Rofi Rosydi, S.Pd;Fifty-Fifty karena fasilitas nya kurang lengkap
Dias saputri;Siswa memiliki referensi lain dalam belajar
Suwanto;Saya berharap di tahun ajaran baru ini bisa belajar tatap muka 
Chatarina Dewi L;tidak lengkap
Sudarsono;Karena pada saat dilapang tidak sesuai ekspektasi
Achmad fadil baihaki;Sekolah tidak memfasilitasi E learning
Clara Hardhini;Karena  e learning dan perpustakaan sudah mendukung untuk pembelajaran online.
D. Irga B. Naufal Fakhri ;Belum ada perpustakaan e book masih proses1
Andi Husnul Khatimah;Proses e-learning sudahbberjal baik namun web-perpus madihbperlubpenataam
Fanny Shafira Damayanti;karena sangab memudahkan guru dan murid dalam proses kegiatan belajar dan mengajar
Nur Ummul Annisa;Sekolah saya bekerja sama dengan Google Edu jadi semua guru dan murid punya Google Suites, e-learning juga punya moodle sekolah, dan perpustakaan memakai smart library
N Muthiah S;Koneksi internet
Nur Azwa;Masalah jaringan dan kuota internet
ARRIZAL FURQONA GIFARY;Jaringan yang tidak stabil, kondisi rumah yang berisik sehingga mengganggu konsentrasi belajar
M. Asyraf Mubarak Sudarmin;"1. Jaringan
2. Fokus saya, berjam-jam dengan hp dan laptop membuat saya kelelahan"
Sri Ayu Mauliana;Praktikum tidak maksimal
Maulydia ;Hambatanya masalah jaringan, karena apabila listrik padam maka jaringan menjadi tidak stabil
Fadila Prima Putri;tidak ada sih sejauh ini
Tegar Nova Silviana;"kuliah melalui whatsapp, perkuliahan dilakukan dengan chat basa basi pun saling bertemu, jadi banyak yang hanya membalas wa teman daripada perkuliahan, karena perkuliahan menggunakan whatsapp terkesan sangat tidak efektif.
Dan kurangnya pengawasan dari dosen, sehingga mudah untuk mahasiswa tidak memperhatikan perkuliahan yang disampaikan"
Wahyu kurnia sari;Kartu data tidak di berikan kepada mahasiswa,beda dengan mahasiswa yang lain
Satriani;Masalah hambatan pasti ada seperti kurangnya jaringan internet apalagi untuk mereka yang ada di pelosok, untuk siswa sekolah dasar juga selama pandemi harus belajar online dan pasti harus memiliki alat seperti Handphone dan menurut saya bukan hal yang mudah untuk memberikan handphone kepada anak dibawah umur apalagi jika tidak diawasi oleh orang tua 
Sukhriatun Rudiah;sejauh ini belum ada
Lu'lu Al-Maknun Musytari ;Jaringan, kuota.
Andi Nurfadillah Ali;Hambatanya adalah terkadang akses internet yang kurang kuat sehingga menghambat proses belajar dengan sistem online ini
Makhdaniar Madhani At thaharah;Hambatanya adalah terkadang akses internet yang kurang kuat sehingga menghambat proses belajar dengan sistem online ini
Syamsuddin;Ya, jaringan
Desmah Fajriani;Ada,  soal jaringam yang kurang bersahabat
Titi ayu astuti;Pengadaan kouta internet, sistem pembayaran SPP yang kurang memahami kondisi keuangan mahasiswa, kurangnya pelayanan dari kampus, 
Muh. Arham;ada, misal jaringan yang tiba-riba buruk dapat mengganggu proses pembelajaran dan apabila ada praktikum  akan kurang efektif karena tidak dilakukan langsung di depan dosen
Nuha Hanifatul Khonsa';hambatan utamanya pada jaringan, karena sebagian daerah masih sulit untuk mendapatkan jaringan. kemudian pemadaman listrik, karena kalo pemadaman listrik kadang kala juga berpengaruh pada lancar tidaknya jaringan, semua saling berkaitan, dan masih banyak lagi
Fitri cahaya;"1. Belum punya HP ANDROID
2. Belum di jangkau jaringan internet
3. Kuota / data mahal sedang tidak ada subsidi"
Gany Berdu Sura;"1. Kuota tidak ada
2. Pembahasan yang kurang dimengerti "
Kamaruddin. H;jaringan yang kadang hilang tiba-tiba
Dina Soraya Fauziah;Pembelajaran jarak jauh biasanya terhambat dalam akses internet, terkhusus mahasiswa yang tinggal di pedesaan dan daerah terpencil lainnya
Chandra Kirana Poetra;Hambatan mungkin dari segi pemahaman karena tidak semua dosen memberi penjelasan atas materi jadi untuk pemahaman materi kurang.
Kaka Kamaludin;Jaringan buruk, Media pembelajaran yang digunakan para dosen dominan monoton  membuat jenuh atau bosan, Pembelajaran dominan belum interaktif, pembelajarannya cenderung tugas online, tugas diberikan  murid menumpuk,penyerapan materi pelajaran sangat minimalis
Ilham Muhammad Ariq;Sinyal, kurang konsentrasi
Putri Nella;tidak semua siswa memiliki cukup akses Untuk melakukan pembelajaran jarak jauh 
Ida fatrini putri;Hambatan sinyal
hanfi hermawan;Sinyal yang jelek
Bakti Qilan Mufid;Tidak ada, Alhamdulillah internet dan listrik saya lancar
Zavira Nurfalita;Kuota internet
Murnia Lestari;Pada saat pengerjaan tugas kelompok agak tidak efisien
Fatmawati;Ada beberapa matkul sulit dipahami karena ada dosen yang hanya memberikan video atau ppt
Fitria Dwi Ningsih;cukup
Dyning Aida Batrishya;Sinyal koneksi, tidak semua tempat memiliki sinyal yang bagus
Sitti Arabia;Ada, hambatan utama yang sering di keluhkan oleh mahasiswa dan siswa itu adalah jaringan yang kurang mendukung dan tidak banyak juga siswa yang tidak mempunyai fasilitas untuk belajar online.
A. Meriam Residen;Ada...sinyal yang utama setelah itu tugas yang bertumpuk dengan dealine yang luar biasa cepatnya
Kasmawati Zainuddin;Ada, banyak. Peserta didik tidak bisa mengakses aplikasi pembelajaran on line karena terkendaka jaringan, serta tidak disiplin.
Zakiyah;Kuota internet
Nurul Maghfirah Aras;jaringan yang tidak menentu, situasi yang tidak selalu kondusif
Nurul wafika;#NAME?
Fahira, S.Pd;Kalau di kampung terkendala jaringan 
A.IDHAM FITRAH AL MADANI;Jaringan
A. Mukramin Yusuf;"1. Jaringan
2. Selalu diberikan tugas
3. Waktu ujian sangat limit karena merasa open book , dosen berfikirnya mudah dalam mengerjakannya, namun kenyataanya soalnya menjadi dua  kali lipat susahnya
4. Penjelasan pembelajaran kurang dipahami karena keterbatasan media yang digunakan "
Rezky Ananda;Biasanya karena kurang paham terutama pelajaran matematika, karena pelajaran ini memang harus betul-betul dipahami 
Nurul A’in ;Hambatanya yang sering terjadi yaitu, jaringan yang kurang memadai,dan fasilitas yang tidak ada seperti hp dan lainnya
Nur Hikma;Ada. Tidak semua siswa terjangkau dalam pembelajaran online disebabkan karena lokasi tempat tinggal siswa tidak memiliki akses internet yang memadai. Selain itu, kuota internet yng disiapkan pemerintah kadang tidak cukup untuk memenuhi kebutuhan kuota yang diperlukan.
Andi Muh Fauzan Razak;Byk 
Andi Indri Pratiwi;Kendala teknis karena beberapa mata kuliah berpraktikum
Nurul Fitri;hambatan yang paling berpengaruh tentu saja akses internet. seperti kita tau kualitas jaringan berbeda disetiap tempat
Anissatul Muazzirah;Tidak ada.
Sitti Aisyah;"jaringan yang tidak stabil
Kuota iinternet
"
Habib Abdul Rasyid;Ada, ketidakmampuan orang tua khususnya di wilayah pedesaan akan penggunaan media pembelajaran Dan juga sinyal yang tidak baik, 
Janjalaneh;Jaringan yang biasa tiba tiba hilang
Nurul Istikhomah;"Jaringan, karena kebanyakan pedesaan kurang jaringan. 
Kuota, karena banyak app yang haru di download sehingga menimbulkan banyak kuota yang terkuras"
MUH. RUSMAN;Masalah jaringan dan kuota yang terbatas
Biutipul;Jaringan yang kurang bagus dan pulsa data yang cepat habis jika digunakan untuk belajar melalui aplikasi zoom secara terus menerus
Suciyani;Hambatan utama adalah koneksi internet, karena disetiap wilayah memiliki kualitas jaringan yang berbeda.
Ainun Nurul Asa;Data terbatas karena pemerintah pelit
Annisa muliani ilmi;"Kuota internet yang lumayan banyak digunakan
Kurang efisien dalam pembelajaran"
A. St. Ardiyanti Umar;Kurangnya fokus peserta ajar, karena tidak berkumpul di suatu ruangan atau tempat
Aya;tidak ada
Difa Al Fansha;"1. Komunikasi secara langsung
2. Jaringan yang mengakibatkan tertinggalnya pembelajaran/kurang jelas dalam hal menerima materi
3. Rasa bosan dan mudah lelah karena harus lama di depan laptop ataupun handphone"
Aulyardha Anindita ;Jaringan, tidak ada sosialisasi dengan dosen dan teman
Kasdiana;kurangnya jaringan karena tinggal di daerah
Liyana majdah rahma;"Hambatan dalam pembelajaran:
- Informasi atau pembelajaran yang diberikan oleh siswa kadang lambat diterima karena kegiatan siswa yang berbeda setiap harinya.
- Akses Internet yang masih terbatas karena sinyal Internet yang belum normal dan merata.
- Materi yang diberikan lambat dipahami karena proses tanya jawab dari siswa kepada guru tidak berjalan seperti pada proses belajar/mengajar dikelas seperti biasanya.
- Peserta didik tidak dapat terkontrol seluruhnya karena kegiatannya berbeda setiap hari."
Nur Aina;Ada, koneksi jaringan yang belum menjangkau daerah yang terpencil. 
Ifan wahyudi;Kuota internet dan sinyal jelek
Agus Paturohman;Ya, hambatan nya diantaranya jaringan yang tidak stabil, manajemen waktu yang kurang baik atau tidak sesuai dengan jadwal, permasalahan kuota, dan masih banyak lagi
Tita Puspita;Ada, terkendala jaringan, perangkat siswa, dan tingkat pemahaman penggunaan IT yang berbeda bagi smua siswa
Atti S;Hambatannya biasanya koneksi jaringan karena beda tempat beda lagi jaringannya
Imam muslimin;Jaringan yang kadang kurang stabil
SANIB;Jaringan,pake data
Wirda Nengsi,S.Pd;Kualitas jaringan & prangkat, karna keduanya adalah hal yang mesti dalam pembelajaran jarak jauh.
Indah Sari;kendala dalam pembelajaran jarak jauh yaitu Kuota yang dimiliki siswa dan jaringan internet siswa yang berbeda beda
A.Aida Wulandari Putri ;kondisi latar belakang pendidikan,ekonomi,psikologis dari siswa,orang tua,masyarakat dan permerintah
Andi Nadhyatul Hidayah;Masih kebingungan, karena belum terbiasa, gaptek dan lain hal. 
Nurul Hidayah Alimuddin ;"1. Jaringan Internet yang kadangkala mengalami gangguan
2. Sulitnya mengontrol siswa saat off kamera
3. Keterbatasan penanaman karakter
4. Perangkat HP atau Laptop yang digunakan bersamaan oleh peserta didik yang kakak adik"
Arjun Yuda Firwanda;Hambatan dalam pembelajaran jarak jauh adalah keterbatasan jaringan internet, serta kurangnya partisipasi dan minat siswa dalam proses pembelajaran jarak jauh.
Harun Ar - Rasyid;-
Sri Rahayu;-
Damara Benedikta ;"Kendala data, Dimana penggunaan data akan semakin banyak
Kendala jaringan, saat pembelajaran Dirumah tidak semua orang yang tempat tinggalnya memiliki akses internet."
Evietania;1. Koneksi internet yang kadang tidak stabil.  2. Buat mengantuk. 3. Durasi kefokusan menurun 4. Adab belajar yang disepelekan.  5. Tidak ada teman diskusi langsung 
Muhammad Fahmi;Jaringan, Kuota Habis, Mati Listrik
Faisal Najib Abdullah;fokus pelajar, fasilitas kurang memadai, televisi tidak digunakan secara maksimal kebanyakan drama program edukasi sangat minim
Nia zuliana;Ada
Eka Nuraini;ketidak tepatan waktu dosen dan jam matakuliah, tugas menjadi lebih banyak 
Naila Rahma Fitri;Bingung
Muhammad Adham Malik;Ada, yaitu jaringan, koneksi dan komunikasi
NURSYAFIKAH;pembelajaran jarak jauh yaitu Kuota, dan ada materi yang kurang di pahami
Andi Tenri Rahayu Asri;Sedikit banyak mungkin ada, seperti jaringan data, kadang juga ditambah koneksi yang buruk mengakibatkan susah masuk e-learning seperti zoom atau meet. Dan masih ada lagi.
Oktaviana Nurul Khoiriah;Susah sinyal dan stres kenapa karna saya tinggal di desa. Memasang WiFi pun percuma karena tetep ngeleg dan jika ada kuliah online saya harus mencari jaringan yang bagus. Saya juga merasa stres dengan banyak tugas yang menumpuk dan hanya berkutat di dalam rumah saja
Murafiqah ramadhani;Jaringan internet yang kurang baik
Ira Dwita Syafitri Tarigan;Hambatan seperti masalah jaringan yang mungkin kalau d perkampungan cukup sulit untuk mendapatkan jaringan yang baik
Reski Amalia;Paling utama adalah kendala jaringan 
Maria Ulfa;"Ya
- hp eror atau aplikasi yang digunakan dalam metode pembelajaran sangat lambat"
Nur aulia syahbani ;Hambatan seperti sinyal 
Ayu Wahyuni;Jaringan saat memulai pmbelajaran online (zoom) 
Andi Nur Ihsan Bahri;kendala dalam pembelajaran jarak jauh yaitu  seperti jaringan yang terkendala ketika melakukan perkuliahan online
ahmad farid;hambatannya hanya di kualitas jaringan yang kadang tidak mendukung sehingga menghambat pembelajaran 
